lecture,slide_id,concept_disagreement,triple_disagreement
Lecture 1,Slide1,5,1
Lecture 1,Slide10,4,5
Lecture 1,Slide11,9,3
Lecture 1,Slide12,11,4
Lecture 1,Slide13,11,1
Lecture 1,Slide14,4,1
Lecture 1,Slide15,7,0
Lecture 1,Slide16,6,2
Lecture 1,Slide17,7,1
Lecture 1,Slide18,11,0
Lecture 1,Slide19,7,0
Lecture 1,Slide2,4,1
Lecture 1,Slide20,14,0
Lecture 1,Slide21,13,1
Lecture 1,Slide22,8,3
Lecture 1,Slide23,13,1
Lecture 1,Slide24,12,1
Lecture 1,Slide25,9,0
Lecture 1,Slide26,5,3
Lecture 1,Slide27,5,1
Lecture 1,Slide28,0,0
Lecture 1,Slide29,15,0
Lecture 1,Slide3,8,0
Lecture 1,Slide30,9,0
Lecture 1,Slide31,5,2
Lecture 1,Slide32,7,1
Lecture 1,Slide33,12,2
Lecture 1,Slide34,9,3
Lecture 1,Slide35,13,0
Lecture 1,Slide36,16,0
Lecture 1,Slide37,6,0
Lecture 1,Slide38,12,0
Lecture 1,Slide39,13,0
Lecture 1,Slide4,11,1
Lecture 1,Slide40,4,1
Lecture 1,Slide41,4,1
Lecture 1,Slide42,4,0
Lecture 1,Slide43,9,0
Lecture 1,Slide44,6,4
Lecture 1,Slide45,12,0
Lecture 1,Slide46,9,1
Lecture 1,Slide47,7,0
Lecture 1,Slide48,12,2
Lecture 1,Slide49,9,1
Lecture 1,Slide5,4,2
Lecture 1,Slide50,21,2
Lecture 1,Slide6,8,0
Lecture 1,Slide7,4,0
Lecture 1,Slide8,17,2
Lecture 1,Slide9,19,1
Lecture 10,Slide1,8,2
Lecture 10,Slide10,3,0
Lecture 10,Slide11,3,0
Lecture 10,Slide12,4,0
Lecture 10,Slide13,12,1
Lecture 10,Slide14,14,2
Lecture 10,Slide15,11,1
Lecture 10,Slide16,2,0
Lecture 10,Slide17,8,0
Lecture 10,Slide18,3,0
Lecture 10,Slide19,3,1
Lecture 10,Slide2,1,0
Lecture 10,Slide20,3,0
Lecture 10,Slide21,3,0
Lecture 10,Slide22,13,0
Lecture 10,Slide23,5,4
Lecture 10,Slide24,3,1
Lecture 10,Slide25,3,0
Lecture 10,Slide26,3,0
Lecture 10,Slide27,2,3
Lecture 10,Slide28,3,0
Lecture 10,Slide29,4,0
Lecture 10,Slide3,8,2
Lecture 10,Slide30,7,0
Lecture 10,Slide31,13,0
Lecture 10,Slide32,3,0
Lecture 10,Slide33,10,0
Lecture 10,Slide34,11,0
Lecture 10,Slide35,5,1
Lecture 10,Slide36,3,1
Lecture 10,Slide37,5,1
Lecture 10,Slide38,3,0
Lecture 10,Slide39,3,0
Lecture 10,Slide4,7,0
Lecture 10,Slide40,3,1
Lecture 10,Slide41,3,1
Lecture 10,Slide42,3,1
Lecture 10,Slide43,3,3
Lecture 10,Slide44,3,0
Lecture 10,Slide45,12,0
Lecture 10,Slide46,18,0
Lecture 10,Slide47,3,0
Lecture 10,Slide48,2,0
Lecture 10,Slide49,5,1
Lecture 10,Slide5,3,0
Lecture 10,Slide50,15,0
Lecture 10,Slide6,3,1
Lecture 10,Slide7,3,0
Lecture 10,Slide8,3,0
Lecture 10,Slide9,3,0
Lecture 11,Slide1,6,1
Lecture 11,Slide10,10,3
Lecture 11,Slide11,9,1
Lecture 11,Slide12,8,0
Lecture 11,Slide13,15,1
Lecture 11,Slide14,18,2
Lecture 11,Slide15,9,0
Lecture 11,Slide16,9,1
Lecture 11,Slide17,9,1
Lecture 11,Slide18,4,1
Lecture 11,Slide19,13,2
Lecture 11,Slide2,6,0
Lecture 11,Slide20,13,0
Lecture 11,Slide21,10,0
Lecture 11,Slide22,20,0
Lecture 11,Slide23,4,2
Lecture 11,Slide24,11,0
Lecture 11,Slide25,4,3
Lecture 11,Slide26,4,0
Lecture 11,Slide27,15,4
Lecture 11,Slide28,9,1
Lecture 11,Slide29,4,1
Lecture 11,Slide3,12,0
Lecture 11,Slide30,6,2
Lecture 11,Slide31,12,2
Lecture 11,Slide32,4,1
Lecture 11,Slide33,4,1
Lecture 11,Slide34,7,0
Lecture 11,Slide35,4,3
Lecture 11,Slide36,4,5
Lecture 11,Slide37,10,1
Lecture 11,Slide38,17,1
Lecture 11,Slide39,4,0
Lecture 11,Slide4,4,2
Lecture 11,Slide40,10,1
Lecture 11,Slide41,4,1
Lecture 11,Slide42,4,0
Lecture 11,Slide43,15,0
Lecture 11,Slide44,10,0
Lecture 11,Slide45,14,1
Lecture 11,Slide46,7,0
Lecture 11,Slide47,12,2
Lecture 11,Slide48,13,3
Lecture 11,Slide49,4,3
Lecture 11,Slide5,4,4
Lecture 11,Slide50,9,0
Lecture 11,Slide51,4,0
Lecture 11,Slide52,8,0
Lecture 11,Slide53,3,1
Lecture 11,Slide54,8,0
Lecture 11,Slide55,7,1
Lecture 11,Slide56,7,0
Lecture 11,Slide57,15,0
Lecture 11,Slide58,15,0
Lecture 11,Slide59,4,0
Lecture 11,Slide6,15,0
Lecture 11,Slide60,12,3
Lecture 11,Slide61,10,1
Lecture 11,Slide62,15,2
Lecture 11,Slide63,4,4
Lecture 11,Slide64,11,5
Lecture 11,Slide7,12,5
Lecture 11,Slide8,7,1
Lecture 11,Slide9,11,3
Lecture 12,Slide1,12,1
Lecture 12,Slide10,17,1
Lecture 12,Slide11,8,0
Lecture 12,Slide12,12,0
Lecture 12,Slide13,13,3
Lecture 12,Slide14,9,3
Lecture 12,Slide15,10,3
Lecture 12,Slide16,4,0
Lecture 12,Slide17,12,0
Lecture 12,Slide18,4,2
Lecture 12,Slide19,4,0
Lecture 12,Slide2,12,0
Lecture 12,Slide20,12,4
Lecture 12,Slide21,13,2
Lecture 12,Slide22,3,1
Lecture 12,Slide23,8,0
Lecture 12,Slide24,11,0
Lecture 12,Slide25,9,4
Lecture 12,Slide26,11,1
Lecture 12,Slide27,4,1
Lecture 12,Slide28,4,2
Lecture 12,Slide29,11,2
Lecture 12,Slide3,8,1
Lecture 12,Slide30,4,0
Lecture 12,Slide31,10,0
Lecture 12,Slide32,11,0
Lecture 12,Slide33,15,0
Lecture 12,Slide34,4,0
Lecture 12,Slide35,4,4
Lecture 12,Slide36,9,0
Lecture 12,Slide37,3,2
Lecture 12,Slide38,4,1
Lecture 12,Slide39,9,2
Lecture 12,Slide4,8,2
Lecture 12,Slide40,4,4
Lecture 12,Slide41,4,0
Lecture 12,Slide42,13,0
Lecture 12,Slide43,4,4
Lecture 12,Slide44,15,0
Lecture 12,Slide45,4,0
Lecture 12,Slide46,9,0
Lecture 12,Slide47,12,4
